ALTI MACH POWERS EAI CAP YAW ROLL PITCH VIS RH TA  HBASE HOUR MODEL  CLOUDS IHAZE1 IHAZE2 IHAZE3  IRStot IRMS
976.7 63.3 0.713 7.8 -6.6 0.92 8.5 0.866 15 80 29 3000 2.9 1 1 1 0 0 -21.75328533 -23.92700677
875.8 88.7 0.666 3 8.7 0.89 -9.5 0.917 13 98 11.3 425 3 1 -1 0 0 1 -23.05116874 -19.85742665
1146 9.2 0.806 9.3 -9.3 0.94 -0.1 0.893 12 85 -3.1 1250 14.5 1 -1 0 1 0 -21.2565075 -16.14156901
924.5 37 0.948 0.7 -9.8 0.88 9.3 0.869 12 99 4.3 3000 13.1 1 -1 1 0 0 -19.51221812 -16.54857092
1198.3 83.9 0.905 0.3 7.8 0.93 -2.3 0.926 12 97 -0.4 3000 2 0 -1 1 0 0 -24.19606664 -19.55980258
939.2 88.2 0.908 1.2 9.4 0.92 9.8 0.915 13 36 27.1 425 39.6 1 1 0 1 0 -18.83968712 -16.73206203
836.8 77.2 0.708 9.6 -9.6 0.86 -7 0.882 13 94 15.4 3000 60.3 0 -1 0 1 0 -19.91278016 -17.92720476
1190.7 22.1 0.757 6.6 -8.3 0.88 -9.8 0.908 14 34 28.4 3000 25.1 1 1 0 1 0 -19.32528997 -16.92061137
810 64.7 0.654 0.8 5 0.88 1.4 0.885 14 92 4.4 500 59.8 1 -1 0 0 1 -20.20984359 -17.25752993
1116.8 12 0.764 1.9 7.8 0.94 -4.4 0.889 14 44 29.6 400 69.3 1 1 0 1 0 -19.36382893 -18.16139815
875.3 86.7 0.932 9.3 -6.9 0.94 -8.4 0.896 15 42 28.2 3000 3.1 0 1 1 0 0 -20.68597005 -18.86868808
943.3 89.1 0.719 7.8 9.9 0.85 9.7 0.888 15 25 34.2 1250 39.2 1 1 0 0 1 -18.64883684 -16.63125733
864 80.5 0.694 0.7 -7.7 0.89 -9.9 0.924 13 26 34.3 1250 50.2 1 1 0 0 1 -18.91743911 -17.07546883
1131.4 37.2 0.89 7.4 -5.4 0.86 10 0.925 15 54 22.2 3000 70.3 0 1 0 0 1 -18.27571497 -16.70562235
926.2 2.6 0.798 6.6 -7 0.9 -1.7 0.924 14 62 29.1 3000 70.1 0 1 0 1 0 -19.10308583 -19.21188186
1169 6.6 0.745 9.9 8.2 0.93 9.4 0.879 15 58 1.6 3000 22.5 1 -1 1 0 0 -18.89020449 -15.61853322
1079.1 6.9 0.719 2 9.6 0.85 -9.3 0.882 14 89 6.5 425 21.8 1 -1 0 1 0 -21.01094791 -17.10025913
893.6 2.3 0.677 6.6 -9.5 0.86 -9.3 0.923 12 14 35.9 425 19.7 1 1 0 0 1 -18.80634322 -16.20539798
1057.9 6 0.728 7 -3.7 0.86 -10 0.921 13 20 35 3000 24.9 1 1 1 0 0 -18.51466181 -16.32745958
1027.1 2.1 0.86 3.9 8.8 0.89 8.7 0.916 15 94 -5.1 3000 2.3 0 -1 1 0 0 -23.41741313 -18.37666386
1094.7 84.6 0.654 0.7 -3.4 0.91 -8.9 0.852 15 55 28.6 400 50.4 1 1 0 1 0 -19.85030023 -19.27282366
1104.9 89.4 0.654 1.2 6.2 0.85 9.5 0.876 12 70 18.2 3000 34.8 0 1 1 0 0 -19.72705548 -17.96135896
1174.1 30.4 0.698 0 9.9 0.89 8.3 0.896 15 38 31.7 3000 19.5 0 1 0 0 1 -19.63504064 -18.2783135
1016.1 14.5 0.948 1.3 8 0.9 5.1 0.875 12 100 20.6 3000 49.3 0 1 0 1 0 -19.89777547 -20.24889675
878.8 53.8 0.653 0 -9.5 0.9 -4.9 0.887 12 79 19.5 3000 39.9 1 1 0 1 0 -20.3867936 -19.28035488
964.5 89.6 0.949 8.8 9.5 0.9 -9.4 0.875 14 60 3.1 500 1.4 1 -1 1 0 0 -23.45709549 -19.13607353
1011.2 3.8 0.867 9.2 8.5 0.92 -9.9 0.867 12 33 33.4 1250 60.8 1 1 0 0 1 -18.00989647 -16.6314244
1145.7 12.2 0.947 8.5 -7 0.87 4.6 0.871 12 83 13 3000 22.2 1 -1 0 0 1 -18.80399305 -16.56453902
907.2 1.2 0.688 9.8 -9.7 0.91 -6 0.851 14 54 3.4 450 19.3 1 -1 0 0 1 -19.50983787 -15.94835288
862.2 75.6 0.673 3 7.8 0.9 9.3 0.921 12 36 10.3 3000 70.7 0 -1 0 1 0 -19.60158828 -15.99410967
823.6 14.8 0.922 10 -9.9 0.93 -9.9 0.922 14 59 21.9 1250 14.8 1 1 0 0 1 -18.86447097 -17.38571848
806.5 46.3 0.927 10 9.2 0.87 6.9 0.898 14 67 18.3 3000 69.8 0 1 1 0 0 -18.29140841 -16.66852873
995.4 76.1 0.886 1.1 7.5 0.93 -8.5 0.892 12 79 4.9 3000 42.6 1 -1 0 1 0 -19.51609814 -16.13748236
848 70.7 0.778 1.8 -8.1 0.9 6.9 0.917 15 98 14.9 450 1.1 1 -1 0 0 1 -29.23896015 -24.87418075
850.9 78.9 0.848 9.9 -8.3 0.93 5.5 0.862 13 38 1.7 3000 61.5 1 -1 1 0 0 -18.44456368 -15.00953303
861.6 18.2 0.922 1 -0.3 0.9 5.2 0.866 13 73 18 425 70.7 1 1 0 1 0 -19.1594531 -17.68017299
879.1 1.6 0.93 7.8 -10 0.91 2.2 0.896 15 99 16.8 750 39.8 1 1 1 0 0 -18.77792728 -18.40776452
1145.5 85.4 0.839 1.8 -9.4 0.86 -5.1 0.857 14 94 -2.7 450 32 1 -1 1 0 0 -19.63403071 -16.20158596
1070.2 67.2 0.754 4.4 7.6 0.9 -9.7 0.913 12 93 28.1 3000 14.1 1 1 0 1 0 -22.08038982 -23.22723299
883 14.8 0.78 10 -5.5 0.91 -9.7 0.926 14 98 14.2 425 23.4 1 -1 1 0 0 -19.24553242 -17.71560499
858.6 69.6 0.863 9.5 8.4 0.88 6.4 0.857 13 15 30.8 3000 5.4 0 1 0 1 0 -22.0233825 -16.32438209
1198.2 1.5 0.733 0.7 -10 0.85 6 0.916 13 94 3.9 400 16.1 1 -1 0 0 1 -20.17053081 -16.96906692
949.6 89.7 0.729 5.6 -9.8 0.94 -5.9 0.852 13 85 16.2 750 29.7 1 1 0 0 1 -19.77122194 -18.26196905
1173.5 69.6 0.735 7.3 6 0.91 10 0.87 15 100 -6.3 3000 3.2 0 -1 0 0 1 -23.67862422 -17.75336432
1199.9 6.8 0.868 0.4 -6.7 0.9 -9.2 0.917 14 88 4.5 425 7.2 1 -1 1 0 0 -20.16307878 -17.03263791
1194.1 88 0.728 1.3 -6.4 0.9 -9.3 0.923 13 48 4.7 3000 2.7 0 -1 0 0 1 -22.88782963 -18.354893
1176 3.6 0.669 9.9 -0.2 0.94 5.6 0.873 12 33 33.6 750 30.5 1 1 1 0 0 -18.87402393 -17.49523207
855.2 72.2 0.665 5 10 0.92 -6.9 0.853 12 41 31.3 3000 5.4 0 1 1 0 0 -20.69273663 -19.22208151
1181.9 46.4 0.677 9.9 9.4 0.93 -4.7 0.91 12 100 7.1 3000 24.2 0 -1 0 0 1 -19.76775439 -16.60536752
1183.6 84.3 0.908 6.4 -9.7 0.9 -10 0.862 15 14 8.8 800 7.5 1 -1 0 1 0 -20.86817601 -15.63505241
1102 1.7 0.759 9.7 4 0.86 -7.4 0.886 15 95 9.5 3000 4.2 0 -1 0 0 1 -21.6937488 -18.11909577
803.6 89.7 0.943 4.4 8.4 0.94 8.5 0.911 15 93 7.4 3000 9 0 -1 0 1 0 -23.68208776 -17.83400581
930.9 82.3 0.865 9.9 -9.9 0.89 -9.9 0.922 12 62 13.8 3000 52.5 0 -1 0 1 0 -18.94678922 -16.05137202
839.3 86.6 0.899 9.7 -9.9 0.91 -2.4 0.899 15 59 23.9 750 19.5 1 1 0 1 0 -19.47738363 -17.78622256
900.4 89.3 0.868 1.9 9.7 0.94 9 0.893 14 94 2.1 450 39.4 1 -1 1 0 0 -19.04039161 -16.24729359
1083 28.6 0.897 9.9 5.2 0.9 -9.9 0.908 15 34 27.3 3000 2.2 0 1 0 1 0 -28.38966728 -19.4154737
885.1 34.4 0.694 0.6 5.7 0.89 9.7 0.879 15 27 30.6 3000 69.4 0 1 1 0 0 -18.98332612 -16.9108422
992.7 13.1 0.924 1.2 -8.7 0.85 9.9 0.922 12 76 -3.5 3000 16 0 -1 0 0 1 -20.64076462 -15.79023179
1025.8 19.7 0.684 2.3 9.6 0.86 -7.9 0.908 13 71 -0.1 3000 1 1 -1 1 0 0 -26.82633256 -21.60491363
1084.4 89.6 0.845 0.7 9.7 0.88 7.8 0.89 12 74 -3.5 750 7.3 1 -1 0 0 1 -20.42687182 -16.65646378
818.5 81.7 0.724 9.6 -9.9 0.87 6.6 0.856 12 32 31.8 3000 29.6 0 1 1 0 0 -18.62635281 -16.96206572
858.5 29.9 0.704 1.1 -6.8 0.91 9.5 0.857 14 45 32.9 750 59.5 1 1 0 0 1 -19.30402038 -18.91826114
1077.4 87.6 0.873 9.7 6.9 0.85 -9.9 0.924 15 71 21.8 425 29.4 1 1 0 0 1 -18.52094317 -17.81200272
854.3 82 0.715 9.2 -9.3 0.93 0.7 0.926 12 86 2.2 3000 2.2 0 -1 0 0 1 -23.93046016 -18.9719812
943.4 3 0.657 7.8 -9 0.93 9.7 0.886 13 96 23.3 3000 30.2 0 1 0 1 0 -20.86586681 -20.84588555
838.3 85.3 0.708 0.9 9.5 0.91 -9.7 0.874 15 88 -3 3000 19 0 -1 0 0 1 -20.15059281 -16.20900553
910.9 87.1 0.873 9.5 8.1 0.86 -9.9 0.855 14 54 7.2 3000 39.5 0 -1 1 0 0 -18.45516867 -15.11893544
991.1 14 0.731 9.8 4.6 0.87 9.9 0.925 15 40 31.8 1250 14.8 1 1 0 0 1 -19.06809003 -17.97856232
958.2 89 0.86 5.2 -5.3 0.85 -9.9 0.919 15 33 28.8 750 7.7 1 1 1 0 0 -19.19786192 -17.32273534
1065.4 89.7 0.859 0.4 -9.6 0.89 6.9 0.864 12 40 27.1 3000 0.8 0 1 0 1 0 -36.0100547 -26.21250161
810.2 64.7 0.839 7.8 -8.2 0.86 10 0.913 15 56 0.7 3000 10 0 -1 1 0 0 -19.61602422 -15.65499076
827 2.5 0.922 8.7 9.9 0.9 7.4 0.874 14 91 18 3000 49.9 0 1 1 0 0 -18.68777618 -18.1015
1150.5 68 0.665 0.5 9 0.94 5.2 0.862 15 92 -2.6 500 5.3 1 -1 1 0 0 -21.56005247 -17.60575851
1008.8 3.7 0.848 9.9 2.8 0.85 6.8 0.873 15 94 -0.9 3000 1.8 0 -1 1 0 0 -23.87799384 -18.97128724
1163.1 65.9 0.765 2.2 7.6 0.88 -9.6 0.909 12 58 27.4 3000 70.2 0 1 0 1 0 -19.23441489 -18.40382363
1064 86.9 0.889 9.8 -6.3 0.91 9.9 0.884 14 92 4 450 9.8 1 -1 1 0 0 -19.30257005 -16.18744573
918.8 8.9 0.678 7.3 5 0.91 -9.7 0.856 12 43 22.3 3000 69.5 0 1 0 0 1 -19.00210767 -16.76169105
936.9 79.9 0.825 3.8 -2.6 0.94 -8.1 0.864 12 38 34.9 3000 5.6 0 1 0 0 1 -20.57398413 -19.42198485
1010.5 31.5 0.88 7.8 -8.9 0.92 7.5 0.89 12 52 15.6 750 71.2 1 -1 0 1 0 -18.64020585 -15.83066361
1197.9 11.9 0.841 0.4 -5.6 0.95 9.8 0.886 12 91 14.4 1250 29.5 1 1 1 0 0 -19.35768452 -18.02257599
1167.2 86.7 0.765 7.2 1 0.95 9.5 0.918 12 38 30.6 3000 9.6 0 1 0 1 0 -21.17111666 -17.91627569
838.3 71.6 0.903 0.6 -1 0.93 -10 0.853 15 97 -3.5 3000 18.1 0 -1 0 0 1 -20.14721443 -16.07695371
1103.4 72.4 0.9 0.4 8.7 0.94 -6.4 0.924 14 98 12.6 500 25.5 1 -1 0 0 1 -19.48721314 -17.66643846
970.7 0.3 0.719 9.7 9.8 0.89 -0.4 0.867 15 80 -0.6 450 61.6 1 -1 0 0 1 -19.35005672 -15.80987593
870.1 4.4 0.684 1.5 3.6 0.92 -9.9 0.906 15 93 12.8 800 60.3 1 1 0 0 1 -19.79900694 -18.12280085
809 28.5 0.706 4.1 -9.8 0.93 9.9 0.855 15 46 0.5 3000 29.7 1 -1 0 0 1 -19.22074521 -15.73147363
1129.9 70.9 0.75 9.9 -0.5 0.88 3.9 0.92 15 80 -4.7 3000 39.5 1 -1 0 0 1 -19.03077437 -15.58805581
907 34.1 0.759 9.5 7.5 0.85 -9.7 0.89 12 99 2.6 350 9.3 1 -1 0 0 1 -19.85071803 -16.59920067
1107.6 19.3 0.669 9.2 -1 0.92 -8.9 0.861 13 81 10.4 3000 73.7 0 -1 0 1 0 -19.10585975 -16.74864369
938 86.8 0.77 9.8 9.9 0.89 -4.1 0.911 15 41 21.6 3000 24.3 0 1 0 0 1 -18.80855154 -16.31459727
813.3 8.7 0.821 0.6 3.6 0.95 -9.2 0.913 12 97 -4 3000 7.1 0 -1 0 0 1 -21.24971284 -16.83471619
1058.7 6.9 0.948 9.1 9.8 0.91 -7.7 0.869 14 82 7.6 3000 22.9 0 -1 0 1 0 -20.38322853 -15.99499345
1177.8 23.3 0.869 9.5 9.7 0.9 3.4 0.878 15 27 23.7 400 9 1 1 1 0 0 -18.85810102 -16.17181293
1066 9.3 0.938 10 5.7 0.94 9.5 0.851 13 41 25.7 3000 39.7 0 1 0 1 0 -18.57488143 -16.41112533
1176.2 11.1 0.887 0.2 -6.2 0.86 1.9 0.917 13 30 36 3000 25.8 0 1 0 0 1 -18.83301942 -17.68351668
1181.8 57.8 0.882 9.2 -6.5 0.92 9.9 0.853 12 22 34.4 3000 29.9 0 1 0 0 1 -18.02796321 -15.91433881
1073.9 43.4 0.818 8.4 -3.5 0.93 8 0.899 13 35 35.6 750 5.5 1 1 0 1 0 -22.48352664 -19.07614686
1025.3 9.3 0.709 4.8 -9.9 0.92 6.5 0.921 13 99 -4.7 425 40.1 1 -1 1 0 0 -19.40873604 -16.06266094
1060.4 86.5 0.88 1 8.9 0.87 -9.9 0.865 14 86 21 3000 30.1 0 1 0 0 1 -19.19699217 -18.96454622
1199 36.8 0.656 4.7 -9.5 0.91 -7.1 0.875 12 98 5.5 3000 5.2 1 -1 0 0 1 -21.78083216 -18.16603853
1145 10 0.91 0.4 1.8 0.92 -9.5 0.915 12 66 19 1250 69.5 1 1 0 0 1 -18.8349848 -17.31211812
1163.2 2.9 0.892 0.9 -9.4 0.86 2.6 0.852 15 77 11.1 3000 6.1 0 -1 0 0 1 -20.96622952 -17.7310397
850.9 14 0.944 6.3 5.7 0.94 9 0.87 15 98 14.2 450 8.8 1 -1 1 0 0 -19.7926778 -18.12057615
1140.7 1.1 0.926 0.1 8.8 0.89 -7.3 0.856 15 28 33 3000 30 0 1 1 0 0 -18.46004547 -16.68161906
1003.3 64.4 0.806 1.3 6.4 0.93 9.9 0.893 15 86 12.5 3000 50.8 0 -1 0 0 1 -19.77122194 -17.29056979
1102.5 81 0.936 0.2 -9.1 0.93 1.7 0.901 15 55 22 3000 69.4 0 1 0 0 1 -18.96454622 -17.44047669
997.8 5.1 0.802 9.9 -7.5 0.88 -3.7 0.866 15 84 3.4 450 48.4 1 -1 0 0 1 -19.02545081 -15.84425899
1133.6 76.6 0.707 9.8 7.9 0.92 3.7 0.92 15 37 28.1 1250 70.8 1 1 0 0 1 -18.73731114 -16.89245289
1138.6 9.5 0.937 9.5 -9.7 0.93 -9.1 0.889 14 90 0.2 3000 3.8 0 -1 1 0 0 -21.59243446 -16.96602705
818.8 87.2 0.849 1.7 -7.3 0.9 9.2 0.867 15 35 31.4 3000 8.2 0 1 0 0 1 -19.83619796 -17.84519161
1022.6 13.6 0.754 0.3 -8.5 0.88 -2.2 0.86 15 37 30.4 1250 70.3 1 1 0 0 1 -19.28509085 -17.86622108
1196.6 80 0.675 0.4 -8.9 0.94 7.1 0.914 14 97 7.1 3000 38.2 0 -1 1 0 0 -20.2310116 -17.29218608
1070.6 23 0.703 3.3 9.2 0.91 7.1 0.911 12 53 24.9 3000 1.2 0 1 0 1 0 -35.67452116 -24.83740503
1075.5 79.2 0.74 0.3 -9.9 0.87 -7.4 0.898 15 87 9.9 400 1.9 1 -1 1 0 0 -23.94489545 -20.44942917
1160 78.9 0.789 10 -7.6 0.88 7.3 0.862 12 93 12.3 450 3.5 1 -1 0 0 1 -21.72185181 -18.70317629
809.9 34.2 0.885 0.3 -9.5 0.86 -8.7 0.869 14 80 26.3 3000 3.9 0 1 0 1 0 -26.8862307 -23.11676081
1111 89.6 0.883 9.5 -9.7 0.85 6.5 0.911 15 35 29.4 3000 59.7 0 1 0 1 0 -18.24337173 -16.22556951
1094.5 25 0.708 0.4 6 0.86 -10 0.865 14 50 -10.1 3000 27.9 0 -1 1 0 0 -18.34650135 -15.70202036
895.8 83.5 0.708 9.9 -7.7 0.93 7.1 0.893 12 55 2.6 400 3.1 1 -1 0 0 1 -22.06995494 -17.65567813
924.6 80.1 0.672 0.2 7.4 0.91 8.9 0.887 14 32 31.6 750 4.2 1 1 1 0 0 -20.76565155 -18.96299703
959.8 52.8 0.88 0.4 9.8 0.88 -9.9 0.894 12 53 19.9 750 50.1 1 1 1 0 0 -18.7333388 -16.83656064
1151.6 56.8 0.942 0.4 -7.9 0.94 -6.2 0.925 13 49 -0.1 400 5.4 1 -1 0 0 1 -20.66594077 -16.73539352
1068 0.1 0.768 0.6 10 0.91 1.4 0.926 12 93 -0.6 3000 50.4 0 -1 1 0 0 -21.38627186 -16.40591107
1174.8 3 0.775 5.2 3.8 0.9 3.4 0.906 12 66 20.6 400 70.4 1 1 1 0 0 -19.17464006 -17.89240821
920.7 89.8 0.704 6.9 3.5 0.86 9.3 0.863 12 35 12.8 800 3.9 1 -1 0 1 0 -24.60718741 -17.38181846
1092.8 84.3 0.747 8.1 7.6 0.95 9.6 0.878 15 65 -1.8 450 33.4 1 -1 0 0 1 -19.2948703 -15.74584268
882.6 1.7 0.801 2 -3.6 0.92 1.2 0.864 14 97 1.4 500 62.6 1 -1 0 0 1 -19.79861019 -16.5589289
814.1 81.6 0.747 8.9 8.8 0.93 -5 0.916 15 38 29.5 425 69.4 1 1 0 1 0 -18.76120116 -17.17479854
